,Batter,Dismissal,Runs,Balls,Fours,Sixes,SR,Team,Match,Catches
957,Suryakumar Yadav,c Salt b Russell,56,35,6,2,160.0,Mumbai Indians,mi vs kkr,Salt
958,Tilak Varma,c Narine b Chakaravarthy,4,6,0,0,66.67,Mumbai Indians,mi vs kkr,Narine
959,Nehal Wadhera,b Narine,6,11,1,0,54.55,Mumbai Indians,mi vs kkr,NA
960,Hardik Pandya (c),c Manish Pandey b Russell,1,3,0,0,33.33,Mumbai Indians,mi vs kkr,Manish Pandey
961,Tim David,c Shreyas Iyer b Starc,24,20,1,1,120.0,Mumbai Indians,mi vs kkr,Shreyas Iyer
962,Gerald Coetzee,b Starc,8,7,0,1,114.29,Mumbai Indians,mi vs kkr,NA
963,Piyush Chawla,c Narine b Starc,0,1,0,0,0.0,Mumbai Indians,mi vs kkr,Narine
964,Jasprit Bumrah,not out,1,1,0,0,100.0,Mumbai Indians,mi vs kkr,not out
965,Virat Kohli,c W Saha b Noor Ahmad,42,27,2,4,155.56,Royal Challengers Bengaluru,rcb vs gt,W Saha
966,Faf du Plessis (c),c Shahrukh Khan b Joshua Little,64,23,10,3,278.26,Royal Challengers Bengaluru,rcb vs gt,Shahrukh Khan
967,Will Jacks,c Shahrukh Khan b Noor Ahmad,1,3,0,0,33.33,Royal Challengers Bengaluru,rcb vs gt,Shahrukh Khan
968,Rajat Patidar,c David Miller b Joshua Little,2,3,0,0,66.67,Royal Challengers Bengaluru,rcb vs gt,David Miller
969,Glenn Maxwell,c David Miller b Joshua Little,4,3,1,0,133.33,Royal Challengers Bengaluru,rcb vs gt,David Miller
970,Cameron Green,c Shahrukh Khan b Joshua Little,1,2,0,0,50.0,Royal Challengers Bengaluru,rcb vs gt,Shahrukh Khan
971,Dinesh Karthik (wk),not out,21,12,3,0,175.0,Royal Challengers Bengaluru,rcb vs gt,not out
972,Swapnil Singh,not out,15,9,2,1,166.67,Royal Challengers Bengaluru,rcb vs gt,not out
973,Prabhsimran Singh,c (sub)Sameer Rizvi b Ravindra Jadeja,30,23,2,2,130.43,Punjab Kings,pbks vs csk,(sub)Sameer Rizvi
974,Jonny Bairstow,b Tushar Deshpande,7,6,1,0,116.67,Punjab Kings,pbks vs csk,NA
975,Rilee Rossouw,b Tushar Deshpande,0,3,0,0,0.0,Punjab Kings,pbks vs csk,NA
976,Shashank Singh,c Simarjeet Singh b Santner,27,20,4,0,135.0,Punjab Kings,pbks vs csk,Simarjeet Singh
977,Sam Curran (c),c Santner b Ravindra Jadeja,7,11,0,0,63.64,Punjab Kings,pbks vs csk,Santner
978,Jitesh Sharma (wk),c Dhoni b Simarjeet Singh,0,1,0,0,0.0,Punjab Kings,pbks vs csk,Dhoni
979,Ashutosh Sharma,c Simarjeet Singh b Ravindra Jadeja,3,10,0,0,30.0,Punjab Kings,pbks vs csk,Simarjeet Singh
980,Harpreet Brar,not out,17,13,2,0,130.77,Punjab Kings,pbks vs csk,not out
981,Harshal Patel,c (sub)Sameer Rizvi b Simarjeet Singh,12,13,1,1,92.31,Punjab Kings,pbks vs csk,(sub)Sameer Rizvi
982,Rahul Chahar,b Thakur,16,10,2,1,160.0,Punjab Kings,pbks vs csk,NA
983,Kagiso Rabada,not out,11,10,0,1,110.0,Punjab Kings,pbks vs csk,not out
984,KL Rahul (c & wk),c Ramandeep Singh b Harshit Rana,25,21,3,0,119.05,Lucknow Super Giants,lsg vs kkr,Ramandeep Singh
985,Arshin Kulkarni,c Ramandeep Singh b Starc,9,7,2,0,128.57,Lucknow Super Giants,lsg vs kkr,Ramandeep Singh
986,Marcus Stoinis,c Harshit Rana b Russell,36,21,4,2,171.43,Lucknow Super Giants,lsg vs kkr,Harshit Rana
987,Deepak Hooda,lbw b Chakaravarthy,5,3,1,0,166.67,Lucknow Super Giants,lsg vs kkr,NA
988,Nicholas Pooran,c Salt b Russell,10,8,0,1,125.0,Lucknow Super Giants,lsg vs kkr,Salt
989,Ayush Badoni,c Starc b Narine,15,12,0,1,125.0,Lucknow Super Giants,lsg vs kkr,Starc
990,Ashton Turner,c and b Chakaravarthy,16,9,0,2,177.78,Lucknow Super Giants,lsg vs kkr,and
991,Krunal Pandya,c Salt b Harshit Rana,5,6,0,0,83.33,Lucknow Super Giants,lsg vs kkr,Salt
992,Yudhvir Singh Charak,c Russell b Chakaravarthy,7,7,0,1,100.0,Lucknow Super Giants,lsg vs kkr,Russell
993,Ravi Bishnoi,lbw b Harshit Rana,2,3,0,0,66.67,Lucknow Super Giants,lsg vs kkr,NA
994,Naveen-ul-Haq,not out,0,0,0,0,0.0,Lucknow Super Giants,lsg vs kkr,not out
995,Ishan Kishan (wk),c Mayank Agarwal b Marco Jansen,9,7,2,0,128.57,Mumbai Indians,mi vs srh,Mayank Agarwal
996,Rohit Sharma,c Klaasen b Cummins,4,5,1,0,80.0,Mumbai Indians,mi vs srh,Klaasen
997,Naman Dhir,c Marco Jansen b Bhuvneshwar,0,9,0,0,0.0,Mumbai Indians,mi vs srh,Marco Jansen
998,Suryakumar Yadav,not out,102,51,12,6,200.0,Mumbai Indians,mi vs srh,not out
999,Tilak Varma,not out,37,32,6,0,115.62,Mumbai Indians,mi vs srh,not out
1000,Yashasvi Jaiswal,c Axar b Khaleel Ahmed,4,2,1,0,200.0,Rajasthan Royals,dc vs rr,Axar
1001,Jos Buttler,b Axar,19,17,2,1,111.76,Rajasthan Royals,dc vs rr,NA
1002,Sanju Samson (c & wk),c Shai Hope b Mukesh Kumar,86,46,8,6,186.96,Rajasthan Royals,dc vs rr,Shai Hope
1003,Riyan Parag,b Rasikh Salam,27,22,1,3,122.73,Rajasthan Royals,dc vs rr,NA
1004,Shubham Dubey,c Tristan Stubbs b Khaleel Ahmed,25,12,2,2,208.33,Rajasthan Royals,dc vs rr,Tristan Stubbs
1005,Rovman Powell,b Mukesh Kumar,13,10,1,1,130.0,Rajasthan Royals,dc vs rr,NA
1006,Donovan Ferreira,lbw b Kuldeep Yadav,1,3,0,0,33.33,Rajasthan Royals,dc vs rr,NA
1007,Ravichandran Ashwin,c Shai Hope b Kuldeep Yadav,2,3,0,0,66.67,Rajasthan Royals,dc vs rr,Shai Hope
1008,Trent Boult,not out,2,3,0,0,66.67,Rajasthan Royals,dc vs rr,not out
1009,Avesh Khan,not out,7,3,1,0,233.33,Rajasthan Royals,dc vs rr,not out
1010,Abhishek Sharma,not out,75,28,8,6,267.86,Sunrisers Hyderabad,srh vs lsg,not out
1011,Travis Head,not out,89,30,8,8,296.67,Sunrisers Hyderabad,srh vs lsg,not out
1012,Prabhsimran Singh,lbw b Swapnil Singh,6,4,1,0,150.0,Punjab Kings,pbks vs rcb,NA
1013,Jonny Bairstow (wk),c du Plessis b Lockie Ferguson,27,16,4,1,168.75,Punjab Kings,pbks vs rcb,du Plessis
1014,Rilee Rossouw,c Will Jacks b Karn Sharma,61,27,9,3,225.93,Punjab Kings,pbks vs rcb,Will Jacks
1015,Shashank Singh,run out (Kohli),37,19,4,2,194.74,Punjab Kings,pbks vs rcb,NA
1016,Jitesh Sharma,b Karn Sharma,5,4,1,0,125.0,Punjab Kings,pbks vs rcb,NA
1017,Liam Livingstone,c Karn Sharma b Swapnil Singh,0,2,0,0,0.0,Punjab Kings,pbks vs rcb,Karn Sharma
1018,Sam Curran (c),b Lockie Ferguson,22,16,2,0,137.5,Punjab Kings,pbks vs rcb,NA
1019,Ashutosh Sharma,lbw b Siraj,8,5,0,1,160.0,Punjab Kings,pbks vs rcb,NA
1020,Harshal Patel,c Lockie Ferguson b Siraj,0,1,0,0,0.0,Punjab Kings,pbks vs rcb,Lockie Ferguson
1021,Rahul Chahar,not out,5,5,1,0,100.0,Punjab Kings,pbks vs rcb,not out
1022,Arshdeep Singh,c Karn Sharma b Siraj,4,3,1,0,133.33,Punjab Kings,pbks vs rcb,Karn Sharma
1023,Ajinkya Rahane,c Rahul Tewatia b Warrier,1,5,0,0,20.0,Chennai Super Kings,gt vs csk,Rahul Tewatia
1024,Rachin Ravindra,run out (David Miller),1,2,0,0,50.0,Chennai Super Kings,gt vs csk,NA
1025,Ruturaj Gaikwad (c),c Rashid Khan b Umesh,0,3,0,0,0.0,Chennai Super Kings,gt vs csk,Rashid Khan
1026,Daryl Mitchell,c Shahrukh Khan b Mohit Sharma,63,34,7,3,185.29,Chennai Super Kings,gt vs csk,Shahrukh Khan
1027,Moeen Ali,c Noor Ahmad b Mohit Sharma,56,36,4,4,155.56,Chennai Super Kings,gt vs csk,Noor Ahmad
1028,Shivam Dube,c Noor Ahmad b Mohit Sharma,21,13,2,1,161.54,Chennai Super Kings,gt vs csk,Noor Ahmad
1029,Ravindra Jadeja,c David Miller b Rashid Khan,18,10,2,1,180.0,Chennai Super Kings,gt vs csk,David Miller
1030,MS Dhoni (wk),not out,26,11,1,3,236.36,Chennai Super Kings,gt vs csk,not out
1031,Mitchell Santner,b Rashid Khan,0,2,0,0,0.0,Chennai Super Kings,gt vs csk,NA
1032,Shardul Thakur,not out,3,4,0,0,75.0,Chennai Super Kings,gt vs csk,not out
1033,Ishan Kishan (wk),c Rinku Singh b Narine,40,22,5,2,181.82,Mumbai Indians,kkr vs mi,Rinku Singh
1034,Rohit Sharma,c Narine b Chakaravarthy,19,24,1,1,79.17,Mumbai Indians,kkr vs mi,Narine
1035,Suryakumar Yadav,c Ramandeep Singh b Russell,11,14,1,0,78.57,Mumbai Indians,kkr vs mi,Ramandeep Singh
1036,Tilak Varma,c Salt b Harshit Rana,32,17,5,1,188.24,Mumbai Indians,kkr vs mi,Salt
1037,Hardik Pandya (c),c Vaibhav Arora b Chakaravarthy,2,4,0,0,50.0,Mumbai Indians,kkr vs mi,Vaibhav Arora
1038,Tim David,c Shreyas Iyer b Russell,0,3,0,0,0.0,Mumbai Indians,kkr vs mi,Shreyas Iyer
1039,Nehal Wadhera,run out (Starc/Salt),3,3,0,0,100.0,Mumbai Indians,kkr vs mi,NA
1040,Naman Dhir,c Rinku Singh b Harshit Rana,17,6,1,2,283.33,Mumbai Indians,kkr vs mi,Rinku Singh
1041,Anshul Kamboj,not out,2,2,0,0,100.0,Mumbai Indians,kkr vs mi,not out
1042,Piyush Chawla,not out,1,2,0,0,50.0,Mumbai Indians,kkr vs mi,not out
1043,Rachin Ravindra,c and b Ashwin,27,18,1,2,150.0,Chennai Super Kings,csk vs rr,and
1044,Ruturaj Gaikwad (c),not out,42,41,1,2,102.44,Chennai Super Kings,csk vs rr,not out
1045,Daryl Mitchell,lbw b Chahal,22,13,4,0,169.23,Chennai Super Kings,csk vs rr,NA
1046,Moeen Ali,c Avesh Khan b Nandre Burger,10,13,0,0,76.92,Chennai Super Kings,csk vs rr,Avesh Khan
1047,Shivam Dube,c Riyan Parag b Ashwin,18,11,2,1,163.64,Chennai Super Kings,csk vs rr,Riyan Parag
1048,Ravindra Jadeja,obs,5,7,0,0,71.43,Chennai Super Kings,csk vs rr,NA
1049,Sameer Rizvi,not out,15,8,3,0,187.5,Chennai Super Kings,csk vs rr,not out
1050,David Warner,c Will Jacks b Swapnil Singh,1,2,0,0,50.0,Delhi Capitals,rcb vs dc,Will Jacks
1051,Jake Fraser-McGurk,run out (Yash Dayal),21,8,2,2,262.5,Delhi Capitals,rcb vs dc,NA
