,Batter,Dismissal,Runs,Balls,Fours,Sixes,SR,Team,Match,Catches
0,Kohli,c Rachin Ravindra b Mustafizur,21,20,0,1,105.0,Royal Challengers Bengaluru,csk vs rcb,Rachin Ravindra
1,du Plessis (c),c Rachin Ravindra b Mustafizur,35,23,8,0,152.17,Royal Challengers Bengaluru,csk vs rcb,Rachin Ravindra
2,Rajat Patidar,c Dhoni b Mustafizur,0,3,0,0,0.0,Royal Challengers Bengaluru,csk vs rcb,Dhoni
3,Maxwell,c Dhoni b D Chahar,0,1,0,0,0.0,Royal Challengers Bengaluru,csk vs rcb,Dhoni
4,Green,b Mustafizur,18,22,1,0,81.82,Royal Challengers Bengaluru,csk vs rcb,NA
5,Anuj Rawat (wk),run out (Dhoni),48,25,4,3,192.0,Royal Challengers Bengaluru,csk vs rcb,NA
6,Karthik,not out,38,26,3,2,146.15,Royal Challengers Bengaluru,csk vs rcb,not out
7,Warner,c Jitesh Sharma b Harshal Patel,29,21,3,2,138.1,Delhi Capitals,pbks vs dc,Jitesh Sharma
8,Mitchell Marsh,c Rahul Chahar b Arshdeep Singh,20,12,2,2,166.67,Delhi Capitals,pbks vs dc,Rahul Chahar
9,Shai Hope,c Harpreet Brar b Rabada,33,25,2,2,132.0,Delhi Capitals,pbks vs dc,Harpreet Brar
10,Pant (c & wk),c Bairstow b Harshal Patel,18,13,2,0,138.46,Delhi Capitals,pbks vs dc,Bairstow
11,Bhui,c Jitesh Sharma b Harpreet Brar,3,7,0,0,42.86,Delhi Capitals,pbks vs dc,Jitesh Sharma
12,Tristan Stubbs,c Shashank Singh b Rahul Chahar,5,8,0,0,62.5,Delhi Capitals,pbks vs dc,Shashank Singh
13,Axar,run out ((sub)T Thyagarajan/Jitesh Sharma),21,13,2,1,161.54,Delhi Capitals,pbks vs dc,NA
14,Sumit Kumar,c Jitesh Sharma b Arshdeep Singh,2,9,0,0,22.22,Delhi Capitals,pbks vs dc,Jitesh Sharma
15,Abishek Porel,not out,32,10,4,2,320.0,Delhi Capitals,pbks vs dc,not out
16,Kuldeep Yadav,run out (Shashank Singh/Harshal Patel),1,2,0,0,50.0,Delhi Capitals,pbks vs dc,NA
17,Salt (wk),c Marco Jansen b Markande,54,40,3,3,135.0,Kolkata Knight Riders,kkr vs srh,Marco Jansen
18,Narine,run out (Shahbaz Ahmed),2,4,0,0,50.0,Kolkata Knight Riders,kkr vs srh,NA
19,Venkatesh Iyer,c Marco Jansen b T Natarajan,7,5,1,0,140.0,Kolkata Knight Riders,kkr vs srh,Marco Jansen
20,Shreyas Iyer (c),c Cummins b T Natarajan,0,2,0,0,0.0,Kolkata Knight Riders,kkr vs srh,Cummins
21,Nitish Rana,c Tripathi b Markande,9,11,1,0,81.82,Kolkata Knight Riders,kkr vs srh,Tripathi
22,Ramandeep Singh,c Markande b Cummins,35,17,1,4,205.88,Kolkata Knight Riders,kkr vs srh,Markande
23,Rinku Singh,c Markram b T Natarajan,23,15,3,0,153.33,Kolkata Knight Riders,kkr vs srh,Markram
24,Russell,not out,64,25,3,7,256.0,Kolkata Knight Riders,kkr vs srh,not out
25,Starc,not out,6,3,1,0,200.0,Kolkata Knight Riders,kkr vs srh,not out
26,Yashasvi Jaiswal,c Krunal Pandya b Mohsin Khan,24,12,3,1,200.0,Rajasthan Royals,rr vs lsg,Krunal Pandya
27,Jos Buttler,c Rahul b Naveen-ul-Haq,11,9,2,0,122.22,Rajasthan Royals,rr vs lsg,Rahul
28,Samson (c & wk),not out,82,52,3,6,157.69,Rajasthan Royals,rr vs lsg,not out
29,Riyan Parag,c Deepak Hooda b Naveen-ul-Haq,43,29,1,3,148.28,Rajasthan Royals,rr vs lsg,Deepak Hooda
30,Hetmyer,c Rahul b Ravi Bishnoi,5,7,0,0,71.43,Rajasthan Royals,rr vs lsg,Rahul
31,Dhruv Jurel,not out,20,12,1,1,166.67,Rajasthan Royals,rr vs lsg,not out
32,W Saha (wk),b Bumrah,19,15,4,0,126.67,Gujarat Titans,gt vs mi,NA
33,Shubman Gill (c),c Rohit b Chawla,31,22,3,1,140.91,Gujarat Titans,gt vs mi,Rohit
34,Sai Sudharsan,c Tilak Varma b Bumrah,45,39,3,1,115.38,Gujarat Titans,gt vs mi,Tilak Varma
35,Azmatullah,c Tilak Varma b Gerald Coetzee,17,11,1,1,154.55,Gujarat Titans,gt vs mi,Tilak Varma
36,David Miller,c Hardik Pandya b Bumrah,12,11,1,0,109.09,Gujarat Titans,gt vs mi,Hardik Pandya
37,Vijay Shankar,not out,6,5,0,0,120.0,Gujarat Titans,gt vs mi,not out
38,Rahul Tewatia,c Naman Dhir b Gerald Coetzee,22,15,2,1,146.67,Gujarat Titans,gt vs mi,Naman Dhir
39,Rashid Khan,not out,4,3,0,0,133.33,Gujarat Titans,gt vs mi,not out
40,Dhawan (c),c Kohli b Maxwell,45,37,5,1,121.62,Punjab Kings,rcb vs pbks,Kohli
41,Bairstow,c Kohli b Siraj,8,6,2,0,133.33,Punjab Kings,rcb vs pbks,Kohli
42,Prabhsimran,c Anuj Rawat b Maxwell,25,17,2,2,147.06,Punjab Kings,rcb vs pbks,Anuj Rawat
43,Livingstone,c Anuj Rawat b Alzarri Joseph,17,13,1,1,130.77,Punjab Kings,rcb vs pbks,Anuj Rawat
44,Sam Curran,c Anuj Rawat b Yash Dayal,23,17,3,0,135.29,Punjab Kings,rcb vs pbks,Anuj Rawat
45,Jitesh Sharma (wk),c Anuj Rawat b Siraj,27,20,1,2,135.0,Punjab Kings,rcb vs pbks,Anuj Rawat
46,Shashank Singh,not out,21,8,1,2,262.5,Punjab Kings,rcb vs pbks,not out
47,Harpreet Brar,not out,2,2,0,0,100.0,Punjab Kings,rcb vs pbks,not out
48,Ruturaj Gaikwad (c),c W Saha b Spencer Johnson,46,36,5,1,127.78,Chennai Super Kings,csk vs gt,W Saha
49,Rachin Ravindra,st W Saha b Rashid Khan,46,20,6,3,230.0,Chennai Super Kings,csk vs gt,NA
50,Ajinkya Rahane,st W Saha b Sai Kishore,12,12,0,0,100.0,Chennai Super Kings,csk vs gt,NA
51,Shivam Dube,c Vijay Shankar b Rashid Khan,51,23,2,5,221.74,Chennai Super Kings,csk vs gt,Vijay Shankar
52,Daryl Mitchell,not out,24,20,2,0,120.0,Chennai Super Kings,csk vs gt,not out
53,Sameer Rizvi,c David Miller b Mohit Sharma,14,6,0,2,233.33,Chennai Super Kings,csk vs gt,David Miller
54,Ravindra Jadeja,run out (Vijay Shankar/W Saha),7,3,1,0,233.33,Chennai Super Kings,csk vs gt,NA
55,Mayank Agarwal,c Tim David b Hardik Pandya,11,13,1,0,84.62,Sunrisers Hyderabad,srh vs mi,Tim David
56,Head,c Naman Dhir b Gerald Coetzee,62,24,9,3,258.33,Sunrisers Hyderabad,srh vs mi,Naman Dhir
57,Abhishek Sharma,c Naman Dhir b Chawla,63,23,3,7,273.91,Sunrisers Hyderabad,srh vs mi,Naman Dhir
58,Markram,not out,42,28,2,1,150.0,Sunrisers Hyderabad,srh vs mi,not out
59,Klaasen (wk),not out,80,34,4,7,235.29,Sunrisers Hyderabad,srh vs mi,not out
60,Yashasvi Jaiswal,b Mukesh Kumar,5,7,1,0,71.43,Rajasthan Royals,rr vs dc,NA
61,Jos Buttler,lbw b Kuldeep Yadav,11,16,0,0,68.75,Rajasthan Royals,rr vs dc,NA
62,Samson (c & wk),c Pant b Khaleel Ahmed,15,14,3,0,107.14,Rajasthan Royals,rr vs dc,Pant
63,Riyan Parag,not out,84,45,7,6,186.67,Rajasthan Royals,rr vs dc,not out
64,Ashwin,c Tristan Stubbs b Axar,29,19,0,3,152.63,Rajasthan Royals,rr vs dc,Tristan Stubbs
65,Dhruv Jurel,b Nortje,20,12,3,0,166.67,Rajasthan Royals,rr vs dc,NA
66,Hetmyer,not out,14,7,1,1,200.0,Rajasthan Royals,rr vs dc,not out
67,Kohli,not out,83,59,4,4,140.68,Royal Challengers Bengaluru,rcb vs kkr,not out
68,du Plessis (c),c Starc b Harshit Rana,8,6,0,1,133.33,Royal Challengers Bengaluru,rcb vs kkr,Starc
69,Green,b Russell,33,21,4,2,157.14,Royal Challengers Bengaluru,rcb vs kkr,NA
70,Maxwell,c Rinku Singh b Narine,28,19,3,1,147.37,Royal Challengers Bengaluru,rcb vs kkr,Rinku Singh
71,Rajat Patidar,c Rinku Singh b Russell,3,4,0,0,75.0,Royal Challengers Bengaluru,rcb vs kkr,Rinku Singh
72,Anuj Rawat (wk),c Salt b Harshit Rana,3,3,0,0,100.0,Royal Challengers Bengaluru,rcb vs kkr,Salt
73,Karthik,run out (Salt),20,8,0,3,250.0,Royal Challengers Bengaluru,rcb vs kkr,NA
74,de Kock (wk),c Jitesh Sharma b Arshdeep Singh,54,38,5,2,142.11,Lucknow Super Giants,lsg vs pbks,Jitesh Sharma
75,Rahul,c Bairstow b Arshdeep Singh,15,9,1,1,166.67,Lucknow Super Giants,lsg vs pbks,Bairstow
76,Padikkal,c Dhawan b Sam Curran,9,6,2,0,150.0,Lucknow Super Giants,lsg vs pbks,Dhawan
77,Stoinis,b Rahul Chahar,19,12,0,2,158.33,Lucknow Super Giants,lsg vs pbks,NA
78,Pooran (c),b Rabada,42,21,3,3,200.0,Lucknow Super Giants,lsg vs pbks,NA
79,Ayush Badoni,c Bairstow b Sam Curran,8,10,0,0,80.0,Lucknow Super Giants,lsg vs pbks,Bairstow
80,Krunal Pandya,not out,43,22,4,2,195.45,Lucknow Super Giants,lsg vs pbks,not out
81,Ravi Bishnoi,c (sub)T Thyagarajan b Sam Curran,0,1,0,0,0.0,Lucknow Super Giants,lsg vs pbks,(sub)T Thyagarajan
82,Mohsin Khan,run out (Harshal Patel),2,1,0,0,200.0,Lucknow Super Giants,lsg vs pbks,NA
83,Naveen-ul-Haq,not out,0,0,0,0,0.0,Lucknow Super Giants,lsg vs pbks,not out
84,Mayank Agarwal,c Darshan Nalkande b Azmatullah,16,17,2,0,94.12,Sunrisers Hyderabad,gt vs srh,Darshan Nalkande
85,Head,b Noor Ahmad,19,14,3,0,135.71,Sunrisers Hyderabad,gt vs srh,NA
86,Abhishek Sharma,c Shubman Gill b Mohit Sharma,29,20,2,2,145.0,Sunrisers Hyderabad,gt vs srh,Shubman Gill
87,Markram,c Rashid Khan b Umesh,17,19,0,0,89.47,Sunrisers Hyderabad,gt vs srh,Rashid Khan
88,Klaasen (wk),b Rashid Khan,24,13,1,2,184.62,Sunrisers Hyderabad,gt vs srh,NA
89,Shahbaz Ahmed,c Rahul Tewatia b Mohit Sharma,22,20,1,1,110.0,Sunrisers Hyderabad,gt vs srh,Rahul Tewatia
90,Abdul Samad,run out (Noor Ahmad/W Saha),29,14,3,1,207.14,Sunrisers Hyderabad,gt vs srh,NA
91,Washington Sundar,c Rashid Khan b Mohit Sharma,0,1,0,0,0.0,Sunrisers Hyderabad,gt vs srh,Rashid Khan
92,Cummins (c),not out,2,2,0,0,100.0,Sunrisers Hyderabad,gt vs srh,not out
93,Prithvi Shaw,c Dhoni b Ravindra Jadeja,43,27,4,2,159.26,Delhi Capitals,dc vs csk,Dhoni
94,Warner,c Matheesha Pathirana b Mustafizur,52,35,5,3,148.57,Delhi Capitals,dc vs csk,Matheesha Pathirana
95,Pant (c & wk),c Ruturaj Gaikwad b Matheesha Pathirana,51,32,4,3,159.38,Delhi Capitals,dc vs csk,Ruturaj Gaikwad
96,Mitchell Marsh,b Matheesha Pathirana,18,12,2,1,150.0,Delhi Capitals,dc vs csk,NA
97,Tristan Stubbs,b Matheesha Pathirana,0,2,0,0,0.0,Delhi Capitals,dc vs csk,NA
98,Axar,not out,7,8,0,0,87.5,Delhi Capitals,dc vs csk,not out
99,Abishek Porel,not out,9,6,1,0,150.0,Delhi Capitals,dc vs csk,not out
100,Ishan Kishan (wk),c Samson b Nandre Burger,16,14,2,1,114.29,Mumbai Indians,mi vs rr,Samson
101,Rohit,c Samson b Boult,0,1,0,0,0.0,Mumbai Indians,mi vs rr,Samson
102,Naman Dhir,lbw b Boult,0,1,0,0,0.0,Mumbai Indians,mi vs rr,NA
103,Dewald Brevis,c Nandre Burger b Boult,0,1,0,0,0.0,Mumbai Indians,mi vs rr,Nandre Burger
104,Tilak Varma,c Ashwin b Chahal,32,29,0,2,110.34,Mumbai Indians,mi vs rr,Ashwin
105,Hardik Pandya (c),c (sub)Rovman Powell b Chahal,34,21,6,0,161.9,Mumbai Indians,mi vs rr,(sub)Rovman Powell
106,Chawla,c Hetmyer b Avesh Khan,3,6,0,0,50.0,Mumbai Indians,mi vs rr,Hetmyer
107,Tim David,c Boult b Nandre Burger,17,24,1,0,70.83,Mumbai Indians,mi vs rr,Boult
108,Gerald Coetzee,c Hetmyer b Chahal,4,9,0,0,44.44,Mumbai Indians,mi vs rr,Hetmyer
109,Bumrah,not out,8,9,1,0,88.89,Mumbai Indians,mi vs rr,not out
110,Akash Madhwal,not out,4,5,0,0,80.0,Mumbai Indians,mi vs rr,not out
111,de Kock,c Mayank Dagar b R Topley,81,56,8,5,144.64,Lucknow Super Giants,rcb vs lsg,Mayank Dagar
112,Rahul (c & wk),c Mayank Dagar b Maxwell,20,14,0,2,142.86,Lucknow Super Giants,rcb vs lsg,Mayank Dagar
113,Padikkal,c Anuj Rawat b Siraj,6,11,0,0,54.55,Lucknow Super Giants,rcb vs lsg,Anuj Rawat
114,Stoinis,c Mayank Dagar b Maxwell,24,15,1,2,160.0,Lucknow Super Giants,rcb vs lsg,Mayank Dagar
115,Pooran,not out,40,21,1,5,190.48,Lucknow Super Giants,rcb vs lsg,not out
116,Ayush Badoni,c du Plessis b Yash Dayal,0,3,0,0,0.0,Lucknow Super Giants,rcb vs lsg,du Plessis
117,Krunal Pandya,not out,0,0,0,0,0.0,Lucknow Super Giants,rcb vs lsg,not out
118,Salt (wk),c Tristan Stubbs b Nortje,18,12,4,0,150.0,Kolkata Knight Riders,dc vs kkr,Tristan Stubbs
119,Narine,c Pant b Mitchell Marsh,85,39,7,7,217.95,Kolkata Knight Riders,dc vs kkr,Pant
120,Angkrish Raghuvanshi,c Ishant b Nortje,54,27,5,3,200.0,Kolkata Knight Riders,dc vs kkr,Ishant
121,Russell,b Ishant,41,19,4,3,215.79,Kolkata Knight Riders,dc vs kkr,NA
122,Shreyas Iyer (c),c Tristan Stubbs b Khaleel Ahmed,18,11,0,2,163.64,Kolkata Knight Riders,dc vs kkr,Tristan Stubbs
123,Rinku Singh,c Warner b Nortje,26,8,1,3,325.0,Kolkata Knight Riders,dc vs kkr,Warner
124,Venkatesh Iyer,not out,5,2,1,0,250.0,Kolkata Knight Riders,dc vs kkr,not out
125,Ramandeep Singh,c Prithvi Shaw b Ishant,2,2,0,0,100.0,Kolkata Knight Riders,dc vs kkr,Prithvi Shaw
126,Starc,not out,1,1,0,0,100.0,Kolkata Knight Riders,dc vs kkr,not out
127,W Saha (wk),c Dhawan b Rabada,11,13,2,0,84.62,Gujarat Titans,gt vs pbks,Dhawan
128,Shubman Gill (c),not out,89,48,6,4,185.42,Gujarat Titans,gt vs pbks,not out
129,Williamson,c Bairstow b Harpreet Brar,26,22,4,0,118.18,Gujarat Titans,gt vs pbks,Bairstow
130,Sai Sudharsan,c Jitesh Sharma b Harshal Patel,33,19,6,0,173.68,Gujarat Titans,gt vs pbks,Jitesh Sharma
131,Vijay Shankar,c Harpreet Brar b Rabada,8,10,0,0,80.0,Gujarat Titans,gt vs pbks,Harpreet Brar
132,Rahul Tewatia,not out,23,8,3,1,287.5,Gujarat Titans,gt vs pbks,not out
133,Rachin Ravindra,c Markram b Bhuvneshwar,12,9,2,0,133.33,Chennai Super Kings,srh vs csk,Markram
134,Ruturaj Gaikwad (c),c Abdul Samad b Shahbaz Ahmed,26,21,3,1,123.81,Chennai Super Kings,srh vs csk,Abdul Samad
135,Ajinkya Rahane,c Markande b Jaydev Unadkat,35,30,2,1,116.67,Chennai Super Kings,srh vs csk,Markande
136,Shivam Dube,c Bhuvneshwar b Cummins,45,24,2,4,187.5,Chennai Super Kings,srh vs csk,Bhuvneshwar
137,Ravindra Jadeja,not out,31,23,4,0,134.78,Chennai Super Kings,srh vs csk,not out
138,Daryl Mitchell,c Abdul Samad b T Natarajan,13,11,1,0,118.18,Chennai Super Kings,srh vs csk,Abdul Samad
139,Dhoni (wk),not out,1,2,0,0,50.0,Chennai Super Kings,srh vs csk,not out
140,Kohli,not out,113,72,12,4,156.94,Royal Challengers Bengaluru,rr vs rcb,not out
141,du Plessis (c),c Jos Buttler b Chahal,44,33,2,2,133.33,Royal Challengers Bengaluru,rr vs rcb,Jos Buttler
142,Maxwell,b Nandre Burger,1,3,0,0,33.33,Royal Challengers Bengaluru,rr vs rcb,NA
143,Saurav Chauhan,c Yashasvi Jaiswal b Chahal,9,6,0,1,150.0,Royal Challengers Bengaluru,rr vs rcb,Yashasvi Jaiswal
144,Green,not out,5,6,0,0,83.33,Royal Challengers Bengaluru,rr vs rcb,not out
145,Rohit,b Axar,49,27,6,3,181.48,Mumbai Indians,mi vs dc,NA
146,Ishan Kishan (wk),c and b Axar,42,23,4,2,182.61,Mumbai Indians,mi vs dc,and
147,Suryakumar Yadav,c (sub)Jake Fraser-McGurk b Nortje,0,2,0,0,0.0,Mumbai Indians,mi vs dc,(sub)Jake Fraser-McGurk
148,Hardik Pandya (c),c (sub)Jake Fraser-McGurk b Nortje,39,33,3,1,118.18,Mumbai Indians,mi vs dc,(sub)Jake Fraser-McGurk
149,Tilak Varma,c Axar b Khaleel Ahmed,6,5,1,0,120.0,Mumbai Indians,mi vs dc,Axar
150,Tim David,not out,45,21,2,4,214.29,Mumbai Indians,mi vs dc,not out
151,Romario Shepherd,not out,39,10,3,4,390.0,Mumbai Indians,mi vs dc,not out
152,de Kock,c Noor Ahmad b Umesh,6,4,0,1,150.0,Lucknow Super Giants,lsg vs gt,Noor Ahmad
153,Rahul (c & wk),c Rahul Tewatia b Darshan Nalkande,33,31,3,0,106.45,Lucknow Super Giants,lsg vs gt,Rahul Tewatia
154,Padikkal,c Vijay Shankar b Umesh,7,7,1,0,100.0,Lucknow Super Giants,lsg vs gt,Vijay Shankar
155,Stoinis,c Sharath BR b Darshan Nalkande,58,43,4,2,134.88,Lucknow Super Giants,lsg vs gt,Sharath BR
156,Pooran,not out,32,22,0,3,145.45,Lucknow Super Giants,lsg vs gt,not out
157,Ayush Badoni,c Umesh b Rashid Khan,20,11,3,0,181.82,Lucknow Super Giants,lsg vs gt,Umesh
158,Krunal Pandya,not out,2,2,0,0,100.0,Lucknow Super Giants,lsg vs gt,not out
159,Salt (wk),c Ravindra Jadeja b Tushar Deshpande,0,1,0,0,0.0,Kolkata Knight Riders,csk vs kkr,Ravindra Jadeja
160,Narine,c M Theekshana b Ravindra Jadeja,27,20,3,2,135.0,Kolkata Knight Riders,csk vs kkr,M Theekshana
161,Angkrish Raghuvanshi,lbw b Ravindra Jadeja,24,18,3,1,133.33,Kolkata Knight Riders,csk vs kkr,NA
162,Shreyas Iyer (c),c Ravindra Jadeja b Mustafizur,34,32,3,0,106.25,Kolkata Knight Riders,csk vs kkr,Ravindra Jadeja
163,Venkatesh Iyer,c Daryl Mitchell b Ravindra Jadeja,3,8,0,0,37.5,Kolkata Knight Riders,csk vs kkr,Daryl Mitchell
164,Ramandeep Singh,b M Theekshana,13,12,0,1,108.33,Kolkata Knight Riders,csk vs kkr,NA
165,Rinku Singh,b Tushar Deshpande,9,14,0,0,64.29,Kolkata Knight Riders,csk vs kkr,NA
166,Russell,c Daryl Mitchell b Tushar Deshpande,10,10,2,0,100.0,Kolkata Knight Riders,csk vs kkr,Daryl Mitchell
167,Anukul Roy,not out,3,3,0,0,100.0,Kolkata Knight Riders,csk vs kkr,not out
168,Starc,c Rachin Ravindra b Mustafizur,0,3,0,0,0.0,Kolkata Knight Riders,csk vs kkr,Rachin Ravindra
169,Vaibhav Arora,not out,1,1,0,0,100.0,Kolkata Knight Riders,csk vs kkr,not out
170,Head,c Dhawan b Arshdeep Singh,21,15,4,0,140.0,Sunrisers Hyderabad,pbks vs srh,Dhawan
171,Abhishek Sharma,c Shashank Singh b Sam Curran,16,11,2,1,145.45,Sunrisers Hyderabad,pbks vs srh,Shashank Singh
172,Markram,c Jitesh Sharma b Arshdeep Singh,0,2,0,0,0.0,Sunrisers Hyderabad,pbks vs srh,Jitesh Sharma
173,Nitish Reddy,c Rabada b Arshdeep Singh,64,37,4,5,172.97,Sunrisers Hyderabad,pbks vs srh,Rabada
174,Tripathi,c Jitesh Sharma b Harshal Patel,11,14,1,0,78.57,Sunrisers Hyderabad,pbks vs srh,Jitesh Sharma
175,Klaasen (wk),c Sam Curran b Harshal Patel,9,9,1,0,100.0,Sunrisers Hyderabad,pbks vs srh,Sam Curran
176,Abdul Samad,c Harshal Patel b Arshdeep Singh,25,12,5,0,208.33,Sunrisers Hyderabad,pbks vs srh,Harshal Patel
177,Shahbaz Ahmed,not out,14,7,1,1,200.0,Sunrisers Hyderabad,pbks vs srh,not out
178,Cummins (c),b Rabada,3,4,0,0,75.0,Sunrisers Hyderabad,pbks vs srh,NA
179,Bhuvneshwar,c Bairstow b Sam Curran,6,8,0,0,75.0,Sunrisers Hyderabad,pbks vs srh,Bairstow
180,Jaydev Unadkat,not out,6,1,0,1,600.0,Sunrisers Hyderabad,pbks vs srh,not out
181,Yashasvi Jaiswal,c Wade b Umesh,24,19,5,0,126.32,Rajasthan Royals,rr vs gt,Wade
182,Jos Buttler,c Rahul Tewatia b Rashid Khan,8,10,0,0,80.0,Rajasthan Royals,rr vs gt,Rahul Tewatia
183,Samson (c & wk),not out,68,38,7,2,178.95,Rajasthan Royals,rr vs gt,not out
184,Riyan Parag,c Vijay Shankar b Mohit Sharma,76,48,3,5,158.33,Rajasthan Royals,rr vs gt,Vijay Shankar
185,Hetmyer,not out,13,5,1,1,260.0,Rajasthan Royals,rr vs gt,not out
186,Kohli,c Ishan Kishan b Bumrah,3,9,0,0,33.33,Royal Challengers Bengaluru,mi vs rcb,Ishan Kishan
187,du Plessis (c),c Tim David b Bumrah,61,40,4,3,152.5,Royal Challengers Bengaluru,mi vs rcb,Tim David
188,Will Jacks,c Tim David b Akash Madhwal,8,6,2,0,133.33,Royal Challengers Bengaluru,mi vs rcb,Tim David
189,Rajat Patidar,c Ishan Kishan b Gerald Coetzee,50,26,3,4,192.31,Royal Challengers Bengaluru,mi vs rcb,Ishan Kishan
190,Maxwell,lbw b Shreyas Gopal,0,4,0,0,0.0,Royal Challengers Bengaluru,mi vs rcb,NA
191,Karthik (wk),not out,53,23,5,4,230.43,Royal Challengers Bengaluru,mi vs rcb,not out
192,Lomror,lbw b Bumrah,0,1,0,0,0.0,Royal Challengers Bengaluru,mi vs rcb,NA
193,Saurav Chauhan,c Akash Madhwal b Bumrah,9,8,1,0,112.5,Royal Challengers Bengaluru,mi vs rcb,Akash Madhwal
194,Vijaykumar Vyshak,c Nabi b Bumrah,0,1,0,0,0.0,Royal Challengers Bengaluru,mi vs rcb,Nabi
195,Akash Deep,not out,2,2,0,0,100.0,Royal Challengers Bengaluru,mi vs rcb,not out
196,de Kock,lbw b Khaleel Ahmed,19,13,4,0,146.15,Lucknow Super Giants,lsg vs dc,NA
197,Rahul (c & wk),c Pant b Kuldeep Yadav,39,22,5,1,177.27,Lucknow Super Giants,lsg vs dc,Pant
198,Padikkal,lbw b Khaleel Ahmed,3,6,0,0,50.0,Lucknow Super Giants,lsg vs dc,NA
199,Stoinis,c Ishant b Kuldeep Yadav,8,10,1,0,80.0,Lucknow Super Giants,lsg vs dc,Ishant
200,Pooran,b Kuldeep Yadav,0,1,0,0,0.0,Lucknow Super Giants,lsg vs dc,NA
201,Deepak Hooda,c Warner b Ishant,10,13,0,0,76.92,Lucknow Super Giants,lsg vs dc,Warner
202,Ayush Badoni,not out,55,35,5,1,157.14,Lucknow Super Giants,lsg vs dc,not out
203,Krunal Pandya,c Pant b Mukesh Kumar,3,4,0,0,75.0,Lucknow Super Giants,lsg vs dc,Pant
204,Arshad Khan,not out,20,16,2,0,125.0,Lucknow Super Giants,lsg vs dc,not out
205,Atharva Taide,c Kuldeep Sen b Avesh Khan,15,12,2,0,125.0,Punjab Kings,pbks vs rr,Kuldeep Sen
206,Bairstow,c Hetmyer b Maharaj,15,19,1,0,78.95,Punjab Kings,pbks vs rr,Hetmyer
207,Prabhsimran,c Dhruv Jurel b Chahal,10,14,1,0,71.43,Punjab Kings,pbks vs rr,Dhruv Jurel
208,Sam Curran (c),c Dhruv Jurel b Maharaj,6,10,0,0,60.0,Punjab Kings,pbks vs rr,Dhruv Jurel
209,Jitesh Sharma (wk),c Riyan Parag b Avesh Khan,29,24,1,2,120.83,Punjab Kings,pbks vs rr,Riyan Parag
210,Shashank Singh,c Dhruv Jurel b Kuldeep Sen,9,9,1,0,100.0,Punjab Kings,pbks vs rr,Dhruv Jurel
211,Livingstone,run out (Tanush Kotian/Samson),21,14,2,1,150.0,Punjab Kings,pbks vs rr,NA
212,Ashutosh Sharma,c Maharaj b Boult,31,16,1,3,193.75,Punjab Kings,pbks vs rr,Maharaj
213,Harpreet Brar,not out,3,3,0,0,100.0,Punjab Kings,pbks vs rr,not out
214,de Kock,c Narine b Vaibhav Arora,10,8,2,0,125.0,Lucknow Super Giants,kkr vs lsg,Narine
215,Rahul (c & wk),c Ramandeep Singh b Russell,39,27,3,2,144.44,Lucknow Super Giants,kkr vs lsg,Ramandeep Singh
216,Deepak Hooda,c Ramandeep Singh b Starc,8,10,1,0,80.0,Lucknow Super Giants,kkr vs lsg,Ramandeep Singh
217,Ayush Badoni,c Angkrish Raghuvanshi b Narine,29,27,2,1,107.41,Lucknow Super Giants,kkr vs lsg,Angkrish Raghuvanshi
218,Stoinis,c Salt b Chakaravarthy,10,5,2,0,200.0,Lucknow Super Giants,kkr vs lsg,Salt
219,Pooran,c Salt b Starc,45,32,2,4,140.62,Lucknow Super Giants,kkr vs lsg,Salt
220,Krunal Pandya,not out,7,8,0,0,87.5,Lucknow Super Giants,kkr vs lsg,not out
221,Arshad Khan,b Starc,5,4,1,0,125.0,Lucknow Super Giants,kkr vs lsg,NA
222,Ajinkya Rahane,c Hardik Pandya b Gerald Coetzee,5,8,1,0,62.5,Chennai Super Kings,mi vs csk,Hardik Pandya
223,Rachin Ravindra,c Ishan Kishan b Shreyas Gopal,21,16,2,1,131.25,Chennai Super Kings,mi vs csk,Ishan Kishan
224,Ruturaj Gaikwad (c),c Nabi b Hardik Pandya,69,40,5,5,172.5,Chennai Super Kings,mi vs csk,Nabi
225,Shivam Dube,not out,66,38,10,2,173.68,Chennai Super Kings,mi vs csk,not out
226,Daryl Mitchell,c Nabi b Hardik Pandya,17,14,1,0,121.43,Chennai Super Kings,mi vs csk,Nabi
227,Dhoni (wk),not out,20,4,0,3,500.0,Chennai Super Kings,mi vs csk,not out
228,Abhishek Sharma,c Lockie Ferguson b R Topley,34,22,2,2,154.55,Sunrisers Hyderabad,rcb vs srh,Lockie Ferguson
229,Head,c du Plessis b Lockie Ferguson,102,41,9,8,248.78,Sunrisers Hyderabad,rcb vs srh,du Plessis
230,Klaasen (wk),c Vijaykumar Vyshak b Lockie Ferguson,67,31,2,7,216.13,Sunrisers Hyderabad,rcb vs srh,Vijaykumar Vyshak
231,Markram,not out,32,17,2,2,188.24,Sunrisers Hyderabad,rcb vs srh,not out
232,Abdul Samad,not out,37,10,4,3,370.0,Sunrisers Hyderabad,rcb vs srh,not out
233,Salt (wk),c and b Avesh Khan,10,13,1,0,76.92,Kolkata Knight Riders,kkr vs rr,and
234,Narine,b Boult,109,56,13,6,194.64,Kolkata Knight Riders,kkr vs rr,NA
